molecule,conformer_id,pool_index,common_scaffold_cluster,common_scaffold_representative,relative_electronic_energy_kj_mol,electronic_weight_if_representative,total_mean_clearance_probe_0_5_angstrom,total_top_decile_clearance_probe_0_5_angstrom,total_positive_clearance_integral_probe_0_5_angstrom,nonlocal_mean_clearance_probe_0_5_angstrom,nonlocal_top_decile_clearance_probe_0_5_angstrom,re_nonlocal_mean_clearance_probe_0_5_angstrom,si_nonlocal_mean_clearance_probe_0_5_angstrom,para_substituent_limiter_fraction,direct_para_substituent_nonlocal_integral_delta_angstrom,direct_para_substituent_total_mean_clearance_delta_angstrom,direct_para_substituent_nonlocal_environment_mean_clearance_delta_angstrom,re_minus_si_nonlocal_mean_clearance_angstrom,minimum_para_substituent_distance_from_carbonyl_c_angstrom,carbonyl_c_o_length_angstrom,amide_c_n_length_angstrom,mayer_bond_order_c_o,mayer_bond_order_c_n,loewdin_charge_carbonyl_c,loewdin_charge_carbonyl_o,loewdin_charge_amide_n,dipole_magnitude_debye,homo_lumo_gap_ev,benzoyl_carbonyl_torsion_abs_mean_deg
1SB-LSD_RR,conf002,78,dft_core_cluster_001,True,0.0,0.39457741619046766,-0.8263558206998823,0.07331435080315941,0.007399529869917496,-0.708728147718704,0.30038216301044113,-0.726569985686579,-0.6908863097508287,0.030555555555555555,0.0,-0.0033651470722610988,-0.01852449914351173,-0.03568367593575039,6.248761617612987,1.2156678921789166,1.4026581986066307,2.0874,1.0376,0.098995,-0.167011,0.021626,4.835491627,4.0355,40.60426743434709
1SB-LSD_RR,conf007,32,dft_core_cluster_002,True,1.006167065615536,0.26294164833144784,-0.826759417679686,0.07325588360470583,0.0073927357210859836,-0.7118638538431071,0.2976293402232596,-0.6948963601073953,-0.728831347578819,0.029166666666666667,0.0,-0.0025013627708622144,-0.01860725511582484,0.03393498747142365,6.248813424084836,1.2157696641276097,1.4017446615966394,2.0869,1.0401,0.098306,-0.167688,0.021521,6.218844518,4.0065,40.577784105070876
1SB-LSD_RR,conf005,172,dft_core_cluster_002,False,1.014868971859398,,-0.8242311311325285,0.07359279719100795,0.007423157140596008,-0.7001141767818826,0.30176061207073407,-0.7201293435335575,-0.6800990100302077,0.022222222222222223,0.0,-0.002263836790335483,-0.010341370030284014,-0.040030333503349835,6.247499734594563,1.215846896573199,1.4017710231404572,2.0859,1.0406,0.098359,-0.167705,0.021618,6.523306437,4.0061,40.50358278609825
1SB-LSD_RR,conf004,133,dft_core_cluster_003,True,1.090859716410439,0.2541100669634819,-0.827308430891979,0.07188481091876885,0.0072707810204954435,-0.7133985810823552,0.2974790611033444,-0.7298297800203805,-0.6969673821443301,0.030555555555555555,0.0,-0.0025826458128397345,-0.019153222938701808,-0.03286239787605039,6.247971803914343,1.2158083219956566,1.4016452814291789,2.0868,1.0403,0.098258,-0.167555,0.021574,6.518542225,4.0122,41.02117595655121
1SB-LSD_RR,conf006,77,dft_core_cluster_002,False,1.0949786155472012,,-0.8274486797374541,0.07312758865573597,0.00738188606967862,-0.7142567217838092,0.2966040369560855,-0.7002967043163362,-0.7282167392512822,0.034722222222222224,0.0,-0.0030834079561138372,-0.020611396997468057,0.027920034934945992,6.248641697147102,1.2157932727577758,1.4018487498191934,2.0872,1.0398,0.098287,-0.167618,0.021483,6.158762322,4.004099999999999,40.49883273123643
1SB-LSD_RR,conf003,161,dft_core_cluster_004,True,7.186546154777826,0.021732205843805134,-0.8299631348367283,0.0732346466607922,0.007429750109997846,-0.7304742998230489,0.26080106059954344,-0.7107932637231883,-0.7502649795780618,0.025,0.0,-0.0038053526219624656,-0.012833686901046581,0.039471715854873524,6.23886426950915,1.214669128342864,1.4101006143280943,2.1053,1.0211,0.100197,-0.165092,0.014366,3.050956793,3.9652,38.10423812748979
1SB-LSD_RR,conf011,151,dft_core_cluster_005,True,7.776059009523506,0.017132692734068495,-0.8322298671764102,0.07315362348307504,0.0074280743079110185,-0.7378824801332851,0.26226967618210195,-0.7110734618824077,-0.7648408522462843,0.034722222222222224,0.0,-0.00525386657679805,-0.019842837778185962,0.053767390363876566,6.239498815420008,1.214971467600777,1.4092993013892716,2.104,1.0237,0.099794,-0.166611,0.014259,2.109598813,3.9414,37.99447937361718
1SB-LSD_RR,conf010,154,dft_core_cluster_006,True,7.823576199388468,0.01680741697491132,-0.8318870763755796,0.07177780701750841,0.00731017577860361,-0.7408118854372558,0.25845836657044496,-0.7177339207359105,-0.7640184181870767,0.03333333333333333,0.0,-0.002820411148582891,-0.01873446315602223,0.04628449745116625,6.238990390980237,1.2149584269988078,1.4091319581041013,2.1036,1.0241,0.099751,-0.166606,0.014295,2.084472017,3.9501,38.70197719180918
1SB-LSD_RR,conf009,93,dft_core_cluster_007,True,7.8653238783956825,0.016526736304542333,-0.8400102460939529,0.07386582060280736,0.007488922417913966,-0.7462939527491631,0.26093097560774026,-0.7518196944334475,-0.7407988245922152,0.02361111111111111,0.0,-0.0032270609516811266,-0.011862845388221133,-0.011020869841232295,6.2387238059234855,1.2149970485365864,1.4092258112697285,2.1031,1.0242,0.099853,-0.16668,0.014117,3.332406126,3.9556000000000004,37.81781615338599
1SB-LSD_RR,conf008,144,dft_core_cluster_008,True,7.919140639682441,0.01617181665727546,-0.8421132918516646,0.07268805445442322,0.007391394984570698,-0.7561621642564671,0.25804751120252367,-0.7649930592223372,-0.7473801939164466,0.03194444444444444,0.0,-0.0031781996673372337,-0.018785437200251165,-0.017612865305890568,6.238728344842051,1.2149254687335858,1.4093423509490948,2.1043,1.0234,0.099797,-0.166447,0.014115,3.342950108,3.958,38.164041172075684
